Baked Ziti Mozzarella, 6.50
Baked Ziti Meatballs, 8.75
Baked Ziti Chicken, 9.75
Garden Salad, 6.25
Greek Salad, 8.25
Antipasto, 8.25
Tuna Salad, 8.25
